subscription_id,customer_id,plan_type,start_date,end_date,monthly_cost
163,4416,5G,2023-05-17,2023-07-09,133.93
164,1148,Postpaid,2022-08-22,2023-05-16,255.47
165,4254,4G,2023-11-14,2024-03-10,117.35
166,3711,Postpaid,2023-09-19,2024-08-31,151.55
167,1778,5G,2023-10-27,2024-05-24,219.56
168,1491,Prepaid,2024-04-16,2024-12-18,270.2
169,1739,4G,2024-02-23,2024-04-24,292.92
170,3488,5G,2022-09-24,2023-03-14,74.27
171,855,5G,2023-12-15,2024-12-14,233.0
172,3480,4G,2022-07-03,2022-11-05,283.75
173,1205,4G,2024-03-21,2025-01-04,211.84
174,2703,Postpaid,2023-08-24,2023-12-17,167.01
175,2701,5G,2023-11-18,2024-10-16,289.51
176,2881,5G,2024-05-20,2024-07-29,297.31
177,1292,Postpaid,2023-09-13,2024-03-28,139.07
178,3866,4G,2023-10-17,2023-12-24,278.57
179,3646,Postpaid,2023-12-11,2024-07-03,60.16
180,575,Prepaid,2022-12-07,2023-09-15,209.23
181,702,Postpaid,2022-06-26,2022-08-07,125.44
182,1240,5G,2023-12-06,2024-09-02,192.7
183,853,4G,2022-09-28,2023-03-13,92.48
184,164,Postpaid,2024-03-31,2024-11-05,242.89
185,1187,Prepaid,2023-04-09,2023-06-17,299.68
186,1892,4G,2024-02-13,2024-04-05,149.24
187,2020,Prepaid,2022-10-07,2023-08-22,54.25
188,4353,Postpaid,2022-07-07,2023-06-24,146.14
189,4657,5G,2022-12-01,2023-05-26,54.12
190,883,Prepaid,2023-12-23,2024-08-17,79.61
191,4431,Postpaid,2024-01-20,2025-01-14,132.44
192,2821,4G,2024-02-23,2024-11-22,227.52
193,2810,5G,2022-11-11,2023-01-25,59.53
194,2820,Postpaid,2022-11-18,2023-07-22,119.05
195,991,Prepaid,2023-01-27,2023-04-10,120.32
196,3125,5G,2022-07-22,2023-05-13,96.51
197,3890,Postpaid,2022-06-28,2022-08-30,59.2
198,4221,Prepaid,2023-04-04,2023-10-29,270.19
199,4734,Prepaid,2022-08-20,2022-12-30,229.19
200,443,4G,2023-05-15,2023-10-07,240.29
201,1459,Prepaid,2022-12-09,2023-02-20,156.7
202,3643,Postpaid,2022-12-11,2023-04-19,242.47
203,4531,Prepaid,2024-02-18,2024-12-20,222.47
204,1000,Postpaid,2024-05-14,2024-12-17,54.82
205,1767,Postpaid,2023-11-05,2024-05-26,290.28
206,2584,Prepaid,2024-01-04,2024-02-08,108.14
207,1103,Prepaid,2023-01-07,2023-07-20,96.06
208,872,4G,2024-02-01,2024-05-15,146.2
209,2928,5G,2024-05-23,2024-07-12,138.06
210,4144,5G,2024-05-03,2025-03-30,186.13
211,1955,5G,2022-09-22,2023-01-15,252.35
212,4783,Prepaid,2022-09-12,2023-06-14,259.28
213,4752,Prepaid,2024-06-07,2024-09-07,193.84
214,1562,5G,2023-06-21,2024-01-26,189.56
215,1622,Prepaid,2023-03-14,2023-04-23,118.68
216,4355,5G,2023-03-20,2023-11-12,112.91
217,892,Postpaid,2024-05-17,2025-02-23,219.53
218,3061,4G,2023-08-02,2023-12-29,62.43
219,706,4G,2023-06-23,2023-10-23,96.79
220,2312,Prepaid,2024-03-23,2025-03-13,188.96
221,1665,4G,2022-09-05,2023-03-23,283.99
222,4917,Postpaid,2024-03-07,2025-02-11,233.27
223,4995,4G,2023-11-15,2024-02-26,213.67
224,2936,5G,2023-02-10,2023-11-09,119.97
225,3679,5G,2024-02-11,2024-08-27,106.09
226,3257,Postpaid,2023-11-19,2024-02-28,264.09
227,2286,Prepaid,2023-11-27,2024-02-23,91.53
228,2060,5G,2022-10-13,2022-11-19,117.64
229,4769,Prepaid,2023-12-01,2024-11-12,206.32
230,1542,Postpaid,2022-06-18,2023-01-28,51.36
231,953,Postpaid,2022-09-29,2023-05-10,147.35
232,463,Postpaid,2024-04-25,2024-08-03,175.32
233,3206,Prepaid,2022-12-09,2023-11-14,276.85
234,2467,Prepaid,2022-11-15,2023-01-12,177.84
235,4305,4G,2023-03-02,2023-09-24,62.7
236,356,Prepaid,2024-01-03,2024-04-14,93.49
237,3005,5G,2023-02-23,2024-01-05,83.31
238,1337,4G,2023-10-28,2024-02-01,182.73
239,3339,4G,2024-01-19,2024-07-11,252.93
240,3598,5G,2023-07-22,2023-08-25,292.64
241,699,4G,2024-05-17,2024-09-28,178.61
242,1662,Prepaid,2022-10-19,2023-04-24,221.61
243,3453,Postpaid,2022-10-22,2022-12-22,96.38
244,4160,Prepaid,2023-08-09,2024-04-12,243.16
245,2449,Prepaid,2024-06-08,2025-01-14,280.83
246,242,Postpaid,2023-07-17,2024-05-20,189.08
247,1770,4G,2023-04-21,2023-11-24,162.02
248,4052,5G,2023-04-24,2023-06-24,219.85
249,2687,Postpaid,2022-12-17,2023-07-09,148.21
250,4969,Postpaid,2024-02-09,2024-07-31,253.6
251,3464,4G,2023-05-24,2024-05-11,221.08
252,2270,Prepaid,2023-10-28,2024-07-19,130.43
253,1728,Prepaid,2023-04-23,2023-08-31,95.9
254,7,4G,2023-07-23,2024-04-17,76.75
255,3224,Prepaid,2022-12-07,2023-08-12,286.44
256,2069,Postpaid,2023-11-18,2024-04-23,82.4
257,1493,Postpaid,2023-06-19,2023-09-24,287.81
258,2381,Prepaid,2022-12-30,2023-02-09,99.52
259,458,Prepaid,2024-04-24,2024-05-31,262.6
260,4526,5G,2024-04-30,2024-07-03,55.84
261,3801,Postpaid,2023-02-05,2023-06-08,177.41
262,4005,5G,2022-10-06,2023-03-30,212.9
263,764,Prepaid,2023-02-26,2023-12-19,245.02
264,2078,Prepaid,2023-08-27,2024-04-23,84.02
265,2028,5G,2023-04-29,2023-07-18,257.08
266,2130,5G,2023-08-10,2024-02-20,121.83
267,1541,4G,2024-05-28,2025-02-10,145.59
268,1933,Prepaid,2024-04-16,2024-12-20,260.08
269,454,Prepaid,2022-09-24,2023-03-22,223.78
270,226,5G,2023-01-24,2023-05-27,167.93
271,3688,Postpaid,2024-05-16,2024-06-27,129.64
272,3293,5G,2023-04-18,2023-07-23,289.63
273,4657,Postpaid,2024-06-02,2024-08-09,190.51
274,4563,Prepaid,2024-04-11,2025-03-12,88.32
275,1005,Prepaid,2022-07-26,2023-03-03,125.92
276,941,4G,2023-03-22,2023-10-25,166.54
277,3396,4G,2023-09-21,2024-07-08,50.44
278,3584,Postpaid,2023-11-13,2024-10-04,206.95
279,3956,5G,2023-07-31,2023-11-05,70.35
280,4746,5G,2022-10-02,2023-01-25,280.51
281,847,Postpaid,2023-05-31,2023-11-21,192.23
282,2811,5G,2023-12-16,2024-08-15,250.16
283,2670,5G,2023-11-29,2024-09-18,262.31
284,4038,4G,2024-06-14,2025-03-02,136.38
285,1387,5G,2023-09-05,2024-06-29,172.79
286,2890,Postpaid,2023-10-19,2024-02-14,147.02
287,1103,Prepaid,2024-05-22,2025-04-17,52.24
288,826,Postpaid,2023-09-11,2024-03-29,112.18
289,2498,Postpaid,2023-08-18,2024-02-25,76.77
290,4822,5G,2022-09-27,2023-09-08,70.74
291,3139,Postpaid,2022-07-17,2023-02-22,67.39
292,4661,4G,2022-12-23,2023-07-22,236.83
293,1216,Postpaid,2022-07-08,2022-12-18,98.26
294,1515,Prepaid,2024-01-03,2024-12-30,121.65
295,917,Prepaid,2024-01-20,2024-08-11,158.11
296,483,5G,2023-08-24,2024-07-26,91.83
297,474,Prepaid,2022-08-19,2022-10-27,232.64
298,2679,Prepaid,2022-08-23,2023-08-01,253.98
299,2856,Postpaid,2024-02-10,2024-07-12,102.17
300,697,Prepaid,2023-09-08,2024-03-20,273.75
301,2844,Postpaid,2024-05-01,2024-06-02,182.61
302,2019,Postpaid,2024-04-20,2024-09-25,142.47
303,242,Prepaid,2024-06-15,2024-09-28,155.16
304,2395,Prepaid,2023-06-02,2024-03-12,143.17
305,2551,Prepaid,2022-10-06,2023-07-31,104.5
306,2286,Prepaid,2023-08-09,2024-01-04,294.45
307,798,4G,2023-04-26,2023-10-04,112.93
308,818,5G,2023-07-01,2023-10-09,295.22
309,1029,5G,2023-02-02,2023-06-15,258.79
310,798,Postpaid,2023-08-08,2024-02-05,295.82
311,3083,5G,2022-09-18,2023-02-14,161.05
312,613,4G,2022-11-24,2023-02-28,87.06
313,954,Postpaid,2023-07-05,2024-07-03,60.66
314,3917,Postpaid,2023-08-22,2023-11-11,187.88
315,2978,4G,2022-09-06,2023-09-03,200.23
316,2670,Prepaid,2023-12-15,2024-08-22,269.33
317,3025,4G,2022-11-19,2023-04-05,220.14
318,1105,4G,2023-05-29,2024-04-18,264.22
319,4358,5G,2024-04-29,2025-02-11,142.46
320,2757,5G,2022-09-05,2022-11-25,106.53
321,1409,Postpaid,2022-12-20,2023-07-07,217.52
322,1254,4G,2023-09-07,2023-11-13,279.86
323,903,Postpaid,2024-02-13,2024-05-13,121.52
324,310,Prepaid,2023-01-18,2023-03-09,56.35
325,509,Prepaid,2023-09-08,2024-02-23,258.5
326,4319,4G,2022-11-19,2023-06-21,96.84
327,2518,4G,2023-09-29,2024-06-14,251.58
328,717,Postpaid,2023-05-12,2023-07-11,98.68
329,3148,Postpaid,2022-12-25,2023-03-12,77.05
330,2896,5G,2022-07-01,2023-01-22,196.9
331,3607,4G,2022-11-28,2023-03-30,62.46
332,1728,Postpaid,2023-09-19,2024-03-03,112.28
333,1420,Postpaid,2024-06-14,2024-10-26,192.22
334,2105,5G,2023-12-25,2024-03-31,102.46
335,3335,Prepaid,2024-03-01,2024-10-27,115.42
336,4064,Postpaid,2023-12-04,2024-07-10,184.72
337,888,5G,2023-12-17,2024-01-29,61.58
338,1281,4G,2023-02-22,2023-06-15,226.21
339,3073,Prepaid,2023-05-17,2024-02-26,74.32
340,3046,5G,2023-12-16,2024-01-24,124.92
341,980,Prepaid,2023-04-08,2024-02-09,256.79
342,2354,Prepaid,2023-01-23,2023-11-03,275.25
343,4796,Prepaid,2023-04-07,2023-11-01,250.25
344,3975,Postpaid,2023-06-14,2024-02-19,151.13
345,96,Prepaid,2023-09-16,2023-11-15,199.37
346,4082,Prepaid,2024-02-19,2024-11-02,137.26
347,3195,Postpaid,2024-05-25,2024-08-19,233.32
348,3164,4G,2022-12-21,2023-11-25,96.42
349,4757,5G,2022-06-21,2023-03-01,236.37
350,1262,Prepaid,2022-08-01,2022-11-16,240.73
351,105,5G,2023-04-05,2024-02-12,109.52
352,3939,Postpaid,2022-12-24,2023-05-22,145.67
353,1745,Postpaid,2023-09-12,2024-07-08,138.16
354,4066,4G,2023-04-21,2023-06-15,89.96
355,3271,Prepaid,2024-01-04,2024-04-16,209.33
356,3082,5G,2024-01-20,2024-07-29,67.13
357,634,Postpaid,2022-12-05,2023-11-12,67.66
358,962,Postpaid,2023-12-27,2024-05-11,106.03
359,3578,4G,2024-04-10,2024-12-30,219.59
360,450,Prepaid,2024-06-07,2024-12-26,285.6
361,1339,Postpaid,2022-10-17,2023-09-09,287.97
362,673,Prepaid,2024-02-20,2024-05-01,68.58
363,4906,Prepaid,2023-09-02,2023-10-31,140.65
364,4678,Postpaid,2024-03-02,2024-12-24,145.29
365,641,Postpaid,2022-06-23,2023-05-10,249.81
366,868,Postpaid,2022-09-29,2023-08-08,82.76
367,4361,4G,2024-01-08,2024-02-22,287.11
368,1356,5G,2023-03-28,2023-09-05,217.46
369,4517,4G,2023-12-27,2024-02-29,259.33
370,291,Prepaid,2022-09-12,2023-08-14,173.9
371,1021,Postpaid,2023-10-06,2024-04-25,119.97
372,2869,5G,2022-06-23,2022-08-17,273.33
373,4544,5G,2024-04-14,2025-02-07,148.9
374,2333,Prepaid,2022-08-28,2022-11-19,273.42
375,1066,Postpaid,2023-02-16,2023-10-20,204.93
376,1950,4G,2023-10-06,2023-11-23,219.3
377,974,4G,2023-10-02,2024-01-22,114.07
378,1193,4G,2024-05-07,2024-09-14,222.24
379,631,Prepaid,2024-03-18,2024-05-21,82.33
380,4396,Prepaid,2024-05-31,2024-08-03,192.22
381,3736,5G,2022-12-22,2023-04-01,89.29
382,3221,Prepaid,2023-07-01,2023-10-20,148.65
383,2178,Prepaid,2023-12-05,2024-04-25,119.68
384,1298,Postpaid,2022-09-30,2023-09-25,252.57
385,354,5G,2023-06-10,2023-10-13,229.8
386,4053,Prepaid,2024-02-16,2024-09-04,249.39
387,4885,Prepaid,2022-11-19,2023-09-20,92.55
388,3501,4G,2023-11-01,2024-07-27,167.74
389,1193,5G,2022-09-08,2023-06-10,81.67
390,1647,5G,2024-02-04,2024-05-12,269.91
391,161,Postpaid,2023-02-10,2023-05-22,217.16
392,373,Prepaid,2023-01-17,2023-03-27,143.37
393,899,5G,2024-05-20,2024-10-07,291.41
394,3634,Postpaid,2022-09-13,2022-12-19,211.31
395,4579,Postpaid,2022-11-18,2023-03-31,292.12
396,3232,4G,2023-03-28,2023-10-28,99.83
397,2137,Postpaid,2022-09-20,2023-03-28,153.95
398,2365,4G,2024-03-29,2024-11-07,81.61
399,3075,Postpaid,2024-04-03,2024-08-19,276.19
400,1954,Prepaid,2023-03-18,2023-10-07,204.29
401,1589,4G,2022-11-28,2023-10-28,105.45
402,461,Prepaid,2023-12-03,2024-01-15,179.02
403,4193,Postpaid,2023-10-28,2024-05-12,186.57
404,706,4G,2023-05-29,2023-10-05,225.19
405,4949,Postpaid,2024-05-07,2025-01-07,239.78
406,4792,5G,2022-10-28,2023-05-11,103.57
407,514,Prepaid,2022-07-31,2023-04-08,117.48
408,1060,4G,2023-09-21,2024-02-13,294.25
409,1808,Prepaid,2024-05-29,2024-08-14,246.65
410,3504,5G,2023-12-28,2024-08-10,195.59
411,3425,5G,2023-11-11,2024-07-26,86.72
412,359,Prepaid,2022-08-13,2023-05-06,277.46
413,2828,4G,2022-11-07,2023-08-16,163.52
414,589,5G,2023-06-22,2024-05-19,69.55
415,2862,4G,2022-10-29,2023-07-08,285.99
416,542,4G,2023-09-13,2024-06-04,269.75
417,1558,5G,2024-04-02,2024-06-02,170.59
418,1339,4G,2023-01-10,2023-05-21,104.57
419,4841,Postpaid,2023-07-05,2024-04-12,236.82
420,3952,4G,2022-10-31,2023-04-14,255.84
421,1556,Postpaid,2023-02-10,2024-01-29,275.21
422,324,Postpaid,2022-12-18,2023-05-03,291.38
423,2708,4G,2022-11-07,2023-04-29,137.39
424,2172,4G,2023-07-19,2024-02-19,207.87
425,2946,Postpaid,2022-07-31,2023-06-22,105.84
426,4576,5G,2022-08-19,2023-04-29,175.46
427,4120,Prepaid,2023-04-15,2023-05-20,171.07
428,1309,5G,2023-04-08,2024-01-16,202.27
429,1959,5G,2023-09-21,2024-03-22,87.18
430,677,Postpaid,2022-09-10,2023-03-07,291.93
431,3989,Prepaid,2022-12-19,2023-11-11,117.97
432,681,5G,2023-10-18,2024-08-04,291.77
433,3323,Prepaid,2024-04-11,2025-01-13,57.25
434,1526,5G,2022-11-17,2022-12-25,161.93
435,2249,4G,2023-04-24,2023-12-27,70.71
436,4644,Postpaid,2022-07-30,2022-11-08,293.67
437,1326,4G,2022-12-27,2023-12-20,252.32
438,2778,5G,2023-04-28,2023-08-25,196.28
439,3002,4G,2022-07-15,2023-01-27,58.2
440,588,Postpaid,2022-08-24,2023-08-22,202.68
441,1885,4G,2024-03-20,2024-05-07,172.7
442,3785,Postpaid,2023-12-16,2024-07-15,80.77
443,1473,Postpaid,2023-07-18,2024-01-08,298.09
444,1304,4G,2022-07-03,2023-02-24,84.94
445,2694,4G,2024-06-09,2025-01-09,181.7
446,2897,5G,2022-11-08,2023-08-09,207.73
447,4307,4G,2023-05-30,2023-07-25,57.0
448,2300,4G,2024-02-09,2024-04-23,120.23
449,2661,5G,2023-06-25,2024-03-29,194.32
450,1430,Prepaid,2023-02-08,2023-05-14,100.85
451,2303,Postpaid,2022-06-20,2023-01-18,296.63
452,2269,Postpaid,2024-05-20,2024-08-16,261.18
453,170,Postpaid,2022-08-22,2023-02-21,253.48
454,2203,5G,2023-10-17,2024-03-08,191.14
455,3065,Postpaid,2023-10-25,2024-04-06,209.68
456,1505,Prepaid,2022-11-20,2023-03-25,196.52
457,1472,Prepaid,2024-02-09,2025-01-02,219.85
458,3025,Postpaid,2023-09-10,2024-06-27,213.42
459,4202,Prepaid,2023-06-11,2023-12-06,76.64
460,935,4G,2022-11-21,2023-11-09,161.51
461,3971,4G,2024-05-24,2024-11-28,203.42
462,1220,5G,2023-09-29,2023-11-17,90.49
463,2528,4G,2023-09-19,2023-12-26,107.57
464,2295,4G,2022-12-28,2023-02-03,132.33
465,2512,5G,2023-09-17,2024-03-21,89.04
466,4232,4G,2023-01-24,2023-10-13,90.28
467,2299,5G,2023-10-13,2024-08-14,71.18
468,4245,Prepaid,2023-07-15,2023-10-21,170.24
469,4861,Prepaid,2023-02-06,2023-12-08,139.9
470,562,Prepaid,2023-12-09,2024-06-26,256.32
471,3044,4G,2022-07-27,2023-03-09,212.91
472,801,Prepaid,2023-01-31,2023-06-07,266.69
473,1200,Postpaid,2023-08-18,2023-11-11,288.36
474,4149,Prepaid,2024-04-08,2025-03-05,147.04
475,4880,5G,2024-01-29,2024-07-24,248.28
476,3612,Prepaid,2024-01-30,2024-02-29,149.61
477,1297,4G,2023-10-29,2024-09-06,282.65
478,898,Prepaid,2023-01-12,2023-06-06,129.13
479,3376,Prepaid,2023-10-02,2024-07-29,174.99
480,3291,Postpaid,2022-07-14,2023-06-12,60.23
481,1631,Prepaid,2024-01-11,2024-10-28,193.16
482,2029,5G,2024-01-03,2024-09-03,60.39
483,4388,5G,2022-11-10,2023-03-14,295.79
484,3182,Prepaid,2023-01-01,2023-06-07,59.24
485,4153,Prepaid,2023-06-07,2024-02-03,247.43
486,4421,Postpaid,2024-01-01,2024-05-26,185.55
487,4590,4G,2023-01-25,2023-10-28,113.47
488,2364,4G,2024-03-09,2024-12-15,272.96
489,4514,Postpaid,2023-02-01,2023-06-18,152.94
490,4147,5G,2023-12-28,2024-02-28,247.37
491,2534,5G,2023-11-23,2024-11-20,84.45
492,2543,Prepaid,2023-01-12,2023-11-28,224.9
493,4191,Prepaid,2022-11-05,2023-10-14,53.28
494,1178,Postpaid,2022-12-29,2023-04-12,293.34
495,2067,Postpaid,2023-12-04,2024-08-25,226.9
496,2302,Prepaid,2023-10-03,2024-09-26,252.18
497,3316,Postpaid,2022-07-02,2022-11-02,162.9
498,377,5G,2024-03-12,2024-12-16,141.17
499,2103,5G,2022-12-30,2023-11-29,125.31
500,2555,4G,2024-05-02,2024-09-28,154.53
501,2230,4G,2023-07-05,2023-08-12,146.32
502,1467,Prepaid,2023-05-15,2023-11-09,144.48
503,3166,4G,2024-04-16,2024-09-01,255.92
504,3204,Prepaid,2024-03-21,2024-11-06,61.05
505,2613,5G,2022-07-03,2023-01-28,81.48
506,3104,4G,2023-02-11,2023-10-07,107.96
507,3741,Prepaid,2023-03-14,2023-07-07,135.27
508,4399,Postpaid,2022-12-14,2023-09-27,252.3
509,4058,Prepaid,2023-04-22,2023-09-20,152.94
510,4169,5G,2023-11-25,2024-04-26,227.08
