complaint_id,customer_id,complaint_type,description,complaint_date,resolved
68,577,service,Time resource particular difficult situation film.,2024-06-30,yes
69,2984,service,,2024-08-09,no
70,2167,coverage,Which blue manage everything if.,2024-07-05,no
71,3919,billing,,2025-02-09,unresolved
72,2813,network,Bank customer will it.,2024-12-15,yes
73,1984,service,Cultural common magazine vote long peace.,2024-07-04,no
74,1853,internet,Peace could require walk political attack.,2024-12-15,no
75,477,billing,Eat budget well successful.,2025-02-08,no
76,4866,internet,Significant already happy enter long measure.,2024-07-22,yes
77,4465,billing,Thing what improve mention relationship minute argue ready.,2025-03-09,unresolved
78,3571,internet,Sort name radio letter figure.,2024-11-02,unresolved
79,2152,internet,Same education level significant interest.,2024-12-20,no
80,294,service,Affect trouble information close.,2024-10-02,unresolved
81,2633,coverage,,2024-07-23,yes
82,376,billing,Between their eat interest skill.,2025-03-22,no
83,3758,internet,Message ability blue issue to past least.,2024-08-20,unresolved
84,3266,internet,Painting because field.,2025-06-17,yes
85,2742,coverage,,2024-12-09,resolved
86,4634,internet,,2024-10-11,no
87,2015,billing,Especially hard total.,2024-10-07,resolved
88,4139,coverage,Claim result finish itself.,2024-11-04,no
89,4558,network,Main threat result beyond against night.,2025-01-01,no
90,4783,billing,Get site main drop.,2025-05-08,no
91,4629,billing,Send identify top fine century good study wide.,2025-04-15,no
92,4721,billing,Meet act help kitchen enjoy letter article.,2024-12-15,no
93,2788,billing,Wonder beautiful sing expect notice.,2025-05-22,resolved
94,960,internet,Be rock however offer report population audience then.,2024-09-08,yes
95,3260,coverage,Really ok talk according.,2024-12-22,yes
96,1011,service,Claim first born work market.,2025-02-13,yes
97,4528,network,Last let tonight half present across.,2025-04-28,resolved
98,54,coverage,Good serve travel.,2024-07-11,unresolved
99,4023,billing,Right onto around start hospital part society.,2024-08-01,resolved
100,2407,coverage,Instead rise speak above.,2025-03-18,unresolved
101,4289,internet,Take painting far factor heavy something player nation.,2025-01-05,no
102,1820,coverage,Clearly spend account movie night.,2025-05-22,no
103,3702,coverage,Guess still kind lawyer region catch person.,2025-03-03,resolved
104,2844,network,Easy be country space wrong relate.,2024-11-29,unresolved
105,3128,internet,Party player school stop.,2025-05-20,resolved
106,4652,billing,,2024-09-27,no
107,4519,network,Street sister foot by trip finally.,2024-07-04,unresolved
108,1332,coverage,Water low reality contain music have.,2024-10-12,yes
109,3469,internet,Identify truth customer international lead poor total.,2025-04-11,unresolved
110,1472,service,Land create force possible here big require.,2024-11-26,yes
111,4981,internet,Collection artist account material morning hospital.,2024-11-14,unresolved
112,66,network,Maybe she surface line establish them.,2024-12-09,resolved
113,3690,billing,Local statement degree president big enough us player.,2024-11-15,unresolved
114,3674,internet,Field defense you yet.,2024-07-01,unresolved
115,3527,internet,Beat carry throughout child teacher possible above.,2025-06-01,resolved
116,3069,coverage,Level chance must need deep fund every.,2025-01-12,resolved
117,906,service,Hundred history official young wife word.,2025-02-16,no
118,3956,network,Project top year.,2024-12-08,yes
119,4611,coverage,,2024-09-10,no
120,4161,internet,Oil treat but with stop.,2025-04-18,unresolved
121,3752,internet,,2025-03-29,no
122,2591,service,Race amount general.,2024-09-15,resolved
123,1447,network,Community hand your certainly.,2024-07-04,yes
124,3447,coverage,Nor agree politics add my.,2025-03-05,resolved
125,4118,internet,Story beyond sea half feel beautiful.,2025-03-05,no
126,3473,service,Attack worker writer woman reality.,2025-01-10,unresolved
127,3299,billing,New see measure war race until.,2025-05-10,no
128,412,coverage,Low pick type local pull few case.,2024-07-26,resolved
129,3748,network,Nice with save writer Republican.,2024-07-07,resolved
130,1769,network,Put contain industry reflect forget will upon she.,2024-10-06,no
131,21,service,Push own teacher reveal.,2024-09-22,yes
132,3884,service,Throw government direction weight know language week.,2025-06-08,unresolved
133,1882,service,Through success too lawyer decide if.,2024-12-06,unresolved
134,1159,billing,Top alone wish Mr fall class responsibility.,2024-10-01,yes
135,3762,network,Ten analysis cost second.,2024-07-06,no
136,4782,internet,Bank test back sister house by.,2025-03-27,yes
137,228,coverage,For find game lawyer whom scientist poor group.,2024-08-30,no
138,2535,coverage,Piece foot want six product ball.,2024-07-14,yes
139,2271,service,Support model assume of.,2025-05-17,yes
140,1123,billing,True serious food policy.,2025-05-18,resolved
141,517,network,Music even street modern image blue director.,2024-11-28,resolved
142,4749,internet,Anyone indicate sign one could free.,2025-03-09,unresolved
143,860,billing,My gun early discuss save course price.,2025-01-28,no
144,3075,coverage,Assume morning white particularly dark.,2024-09-13,resolved
145,4979,service,Five rate kind west loss shake.,2024-10-11,yes
146,4687,coverage,Shake production north.,2024-08-10,unresolved
147,3258,internet,Article can success station sign church.,2025-04-28,no
148,4758,service,Look seek nothing stage box whether.,2024-12-14,yes
149,697,internet,Fill development social hand level federal.,2025-02-09,no
150,608,network,Individual pay card yeah question.,2024-09-18,no
151,2075,service,Toward only item check teach indicate water.,2024-12-29,no
152,3506,coverage,Stand identify today page.,2025-05-27,resolved
153,2650,billing,However wait sense strategy wait.,2024-11-29,unresolved
154,25,coverage,Of TV travel third claim conference.,2025-02-20,resolved
155,1859,service,Agree without particularly machine candidate.,2025-05-02,yes
156,619,billing,Office dream strong.,2024-08-10,unresolved
157,3546,network,Region design leader international technology north decade.,2024-10-18,resolved
158,4379,billing,Respond popular or including bring.,2024-07-21,yes
159,493,coverage,South pressure improve family account idea describe night.,2025-03-23,unresolved
160,1124,network,Hope deal after think accept call become laugh.,2024-08-12,no
161,1190,network,Claim travel soldier pay.,2025-03-11,no
162,2921,service,Nation address herself range.,2025-04-04,unresolved
163,1099,coverage,Compare seven hope image.,2025-04-21,yes
164,3862,billing,Until team growth thing each.,2024-09-13,unresolved
165,487,billing,Build person nor call mean.,2025-01-23,resolved
166,4791,internet,,2024-07-03,yes
167,3685,billing,,2025-01-27,unresolved
168,1907,billing,Present grow whatever budget various.,2024-10-30,no
169,4464,billing,Design perform play such moment goal professor.,2025-03-26,resolved
170,532,network,Section popular wrong government.,2024-08-02,unresolved
171,4757,internet,New air church send store.,2025-04-21,unresolved
172,4659,network,Away pick right song compare.,2024-09-23,no
173,756,service,President child send international.,2025-06-06,resolved
174,1271,coverage,Rather none over while.,2024-09-13,no
175,557,service,Blood picture body.,2024-07-14,unresolved
176,739,network,Event yet image trade.,2025-02-16,resolved
177,3323,internet,Nearly for significant very nice upon image.,2024-09-14,unresolved
178,4569,internet,Push instead friend amount career fly style discuss.,2025-05-21,yes
179,1250,service,Term most lose commercial present reason feel.,2025-03-12,unresolved
180,3045,service,Get particularly trip weight ready war.,2024-12-09,unresolved
181,1410,network,Training born hand wear go.,2024-12-07,resolved
182,3177,coverage,Alone us short whatever partner.,2024-08-23,resolved
183,3470,network,Together mission two church whatever become.,2024-10-10,unresolved
184,4377,network,Evidence home change despite.,2025-02-14,no
185,1133,network,Seven end vote available.,2025-03-31,no
186,885,network,Find lay serious action boy safe.,2024-12-30,resolved
187,1606,billing,Onto two for.,2025-01-15,yes
188,430,internet,Station on for attorney guy treat knowledge.,2025-05-23,yes
189,4092,network,Fast couple network choose investment.,2024-09-17,resolved
190,1990,network,Audience cold positive development industry.,2024-07-26,resolved
191,4531,internet,Center two thus full teach finish student.,2025-01-21,no
192,2855,billing,Member particularly group community yourself soon war.,2025-03-08,unresolved
193,1666,coverage,Itself hour value.,2025-04-06,resolved
194,582,network,Who there increase modern.,2025-05-28,resolved
195,1028,service,Send site memory choose attack.,2025-01-31,yes
196,1248,service,Interest wrong would under light ready.,2025-02-14,resolved
197,3290,network,Ok edge discuss within great responsibility everybody which.,2025-03-06,unresolved
198,3901,billing,Republican conference some soon sea.,2025-04-06,yes
199,994,billing,Task book point up staff world I.,2025-05-15,unresolved
200,3610,coverage,Technology present writer action strong base.,2024-12-24,unresolved
201,245,billing,,2024-08-13,no
202,1115,network,I hope prove wrong section process strong.,2025-01-23,no
203,3718,service,Forward so available court.,2024-10-21,yes
204,2415,coverage,Stop tax feel test.,2024-12-01,resolved
205,3877,internet,Arrive follow pretty free tree his middle.,2024-10-03,no
206,2927,billing,Summer stage sound before.,2024-12-18,no
207,252,network,Play away true even treatment article whose.,2024-08-14,resolved
208,1455,service,Better brother three always amount entire.,2025-01-01,yes
209,2686,service,West along suggest believe.,2025-03-18,yes
210,4811,coverage,Well consider region world.,2025-06-13,unresolved
211,1950,network,General explain owner music after require.,2024-06-22,resolved
212,2122,billing,Leg beautiful spring science build.,2024-11-08,resolved
213,3482,billing,,2024-07-31,unresolved
214,3791,service,Wonder up whose Mr.,2024-09-06,resolved
215,1707,coverage,House worker relationship street.,2024-12-26,unresolved
216,1916,service,Instead behind red space approach some.,2025-03-09,yes
217,1612,coverage,Society catch member accept.,2024-07-10,no
218,4682,billing,Poor into environment either class possible.,2024-08-08,unresolved
219,3467,network,Plan service page water together.,2024-12-07,resolved
220,1872,network,True return card industry large view modern.,2025-06-16,yes
221,4849,coverage,Time floor officer choice effort general case.,2025-03-07,yes
222,4171,billing,Recognize size speech share husband anything value.,2025-01-11,unresolved
223,2596,billing,,2024-07-19,unresolved
224,4805,billing,Share candidate ago moment.,2025-04-04,yes
225,4471,service,Wide process several now itself imagine military.,2024-07-25,yes
226,4855,network,Eat trade rather as put social.,2025-03-20,resolved
227,5,billing,Near kid stock study scientist where light.,2024-06-29,resolved
228,1251,internet,Focus room partner conference open station beautiful experience.,2025-01-11,unresolved
229,2699,service,Most whether exist stage stage.,2025-03-23,unresolved
230,1939,service,Its top on.,2025-03-12,resolved
231,2422,coverage,Enjoy choice answer fire plan car late.,2025-01-27,unresolved
232,4941,billing,Push likely night bank cover speech mother.,2025-05-14,no
233,8,internet,Truth impact civil agreement either cell.,2024-06-18,unresolved
234,2659,service,Gas represent every maybe I significant deep.,2025-04-03,unresolved
235,1798,billing,Area unit realize perhaps draw push with.,2024-08-13,yes
236,4550,billing,Money industry plant early data collection player.,2024-09-15,yes
237,312,internet,Choose over she society.,2024-11-04,resolved
238,282,network,Painting religious movement professional beyond.,2025-02-24,unresolved
239,2992,network,Hit house discussion else stuff.,2025-05-29,no
240,4847,coverage,Set budget final dog site party good.,2024-12-29,unresolved
241,3074,billing,State seek southern improve situation present continue.,2025-03-06,resolved
242,4892,network,Control check gas finish ok stay eat.,2024-12-17,yes
243,2997,internet,Box society happen.,2024-10-21,resolved
244,3333,service,She thought right tree.,2025-05-04,unresolved
245,1615,coverage,Me reason development inside which.,2025-06-14,yes
246,1520,internet,Through recognize major down.,2024-11-23,no
247,1550,service,Pressure commercial standard black effort majority.,2025-05-02,resolved
248,2791,internet,Listen life institution occur night research too.,2024-08-25,no
249,3152,internet,Generation house cup natural.,2025-05-06,resolved
250,1328,network,Skill cut be television individual.,2024-11-17,resolved
251,3768,network,Course improve get heart purpose difficult four.,2024-10-27,unresolved
252,3934,coverage,What expect adult.,2024-10-01,resolved
253,2978,billing,What institution rise rest tonight sign brother order.,2025-03-13,unresolved
254,1076,coverage,Economic else interesting whole our.,2025-03-03,no
255,4215,service,Direction to record impact.,2025-05-29,no
256,2754,internet,Clear natural exactly catch federal strategy concern.,2024-12-10,yes
257,1929,service,Read federal college well ago computer any write.,2025-04-27,resolved
258,1975,service,Any exist put discuss something statement present.,2024-08-25,yes
259,3528,coverage,Return contain story part test west development house.,2025-05-16,unresolved
260,4709,service,Style learn receive.,2025-05-16,no
261,1243,coverage,Myself pull position defense deal president cultural.,2025-02-21,yes
262,1228,service,Meeting member him edge buy care.,2024-08-01,yes
263,3987,network,Time weight prove likely.,2024-10-03,yes
264,2742,network,History born let physical author rich.,2024-12-19,no
265,2354,billing,Almost same industry few art allow.,2024-10-28,yes
266,4171,billing,Expert decide image current sign senior physical.,2024-07-12,no
267,4892,network,Tree window particular.,2024-08-11,unresolved
268,4536,service,Bag expect help travel care price everybody.,2025-01-25,unresolved
269,3359,network,,2025-03-22,yes
270,2463,service,Break four finally century else.,2024-07-13,yes
271,3495,internet,Cost thank less little.,2024-12-16,resolved
272,3996,internet,Site sister without color.,2024-10-06,resolved
273,199,coverage,Color skin both area east strong.,2024-12-29,unresolved
274,4871,coverage,Near hotel country art majority.,2025-06-02,resolved
275,2566,billing,,2024-10-26,yes
276,2909,service,Could beat throughout just company cold.,2024-09-25,no
277,3312,coverage,Whose current commercial senior control rise.,2025-03-06,yes
278,2288,internet,Fire call mouth really analysis good.,2025-01-22,yes
279,3282,network,Exist wonder resource thought player charge factor claim.,2024-08-11,yes
280,2911,network,Senior up decide strategy behind although.,2024-09-03,no
281,333,billing,Capital letter resource college official important note little.,2025-01-03,unresolved
282,4374,coverage,Thought nor wife yourself development agreement.,2025-06-12,unresolved
283,3815,network,Early make also available price buy.,2024-08-12,no
284,1103,service,Quite begin office join man.,2025-03-12,unresolved
285,1480,billing,Mention attention become official article.,2024-12-28,no
286,811,coverage,Method language where professor work mention feeling.,2024-07-14,resolved
287,227,network,Nature maybe glass several discussion court stuff.,2025-06-17,resolved
288,1790,service,Wonder bar live body part voice.,2024-12-29,resolved
289,1372,service,Professional again source boy end.,2024-12-30,unresolved
290,2871,billing,Happy soon anything factor fast whom partner health.,2024-11-22,no
291,319,internet,Between however fire positive like politics music toward.,2025-05-15,yes
292,554,coverage,Reason relate live possible.,2024-06-21,yes
293,682,coverage,Entire try inside unit.,2025-02-13,no
294,3098,network,Tax student glass owner number.,2024-09-22,no
295,1686,service,Indeed interesting college price indeed participant.,2025-01-22,resolved
296,1751,internet,Improve six evening recent.,2024-12-03,unresolved
297,388,internet,Name thought last movie.,2025-03-08,unresolved
298,2061,network,Fire gun audience.,2024-08-25,resolved
299,3399,network,,2024-12-07,no
300,797,service,Tv local though.,2025-06-07,unresolved
301,3424,billing,Nothing figure scene paper southern.,2024-10-04,unresolved
302,1671,service,House interesting leg outside report me.,2024-06-30,no
303,1675,billing,New history involve lot fly individual guy ask.,2024-08-16,unresolved
304,4210,internet,How involve we meeting media race pick.,2024-10-17,yes
305,2288,coverage,Effect action situation front she effort anyone.,2025-03-25,yes
306,324,coverage,Arrive will large dinner sing theory.,2025-01-06,unresolved
307,541,service,Point account its month.,2024-06-23,yes
308,3457,internet,Them full stay vote.,2025-01-23,no
309,743,internet,Old part school pressure such.,2024-11-07,yes
310,2894,internet,,2024-10-26,resolved
311,1337,network,Unit even through including bring remember consumer.,2024-07-24,no
312,549,network,Realize discussion student check interest.,2025-02-22,unresolved
313,2068,billing,Measure world I however visit production hotel.,2025-02-15,resolved
314,2153,internet,,2024-11-11,yes
315,2168,network,Necessary knowledge Republican itself strong election daughter practice.,2025-06-09,yes
316,2310,billing,,2024-10-18,unresolved
317,4924,coverage,Model listen me ever take among.,2024-06-20,yes
318,2101,billing,Political in television mind himself anyone.,2024-07-13,resolved
319,178,coverage,,2025-01-28,resolved
320,3219,service,Deep forget beyond mother.,2025-03-19,unresolved
321,3694,service,Fire everybody choice choice right enough.,2025-05-08,unresolved
322,1579,billing,Space week sort number.,2024-10-28,no
323,1140,internet,Attorney class across professional.,2024-12-17,no
324,2362,coverage,Structure recently lose space time happen because white.,2025-05-07,resolved
325,961,network,Staff machine board class think some.,2025-05-22,resolved
326,2939,billing,Senior fish herself.,2025-05-05,unresolved
327,2389,internet,Congress record six dog continue treat.,2024-11-08,resolved
328,1664,service,Unit any purpose new decade some event.,2025-03-09,yes
329,546,internet,,2024-09-30,no
330,1867,service,,2024-12-06,no
331,3499,service,,2024-10-17,unresolved
332,2735,internet,Wide student board under modern.,2025-05-27,unresolved
333,3414,coverage,Window level important enough.,2025-06-02,unresolved
334,567,network,Message evening treatment owner power team play author.,2025-03-17,no
335,1983,service,Wish certain interest share bag return degree only.,2025-06-09,resolved
336,3484,billing,Individual firm idea her condition that.,2025-06-02,unresolved
337,2865,service,,2024-10-06,yes
338,1789,network,Ago feeling blue impact buy.,2025-01-28,no
339,2079,billing,Ask then around.,2025-05-20,yes
340,956,internet,Include despite fire claim check.,2024-07-11,resolved
341,219,service,Approach product defense me.,2024-10-06,unresolved
342,413,internet,Bar painting actually themselves.,2024-07-04,resolved
343,3845,network,Skill need season debate subject.,2025-03-13,no
344,2636,internet,During bad newspaper individual help cell scientist man.,2024-10-20,unresolved
345,1218,service,Get health offer.,2024-11-25,no
346,4892,coverage,Reduce item risk top.,2025-06-10,resolved
347,3368,billing,Successful daughter source night listen law.,2025-02-19,yes
348,1740,network,Much little fact blue floor themselves ahead.,2025-06-08,yes
349,2956,billing,Process letter get would recent move capital budget.,2025-05-02,unresolved
350,4840,billing,Probably share name build who.,2025-04-14,unresolved
351,4515,internet,Do American we continue.,2025-02-26,no
352,4126,internet,Century memory hotel politics.,2025-01-09,yes
353,326,coverage,Player fast with two social least.,2025-04-16,unresolved
354,4561,network,Because hear property Mr responsibility.,2024-11-21,unresolved
355,104,service,Source story newspaper tend.,2025-04-26,resolved
356,3318,service,Early teacher box say have mention relationship.,2025-06-15,no
357,4897,billing,Market fast nature door smile what land.,2024-07-28,unresolved
358,3016,coverage,Tell successful not phone foreign next.,2024-08-18,unresolved
359,479,coverage,Certain parent mention south power benefit.,2025-05-13,unresolved
360,2572,network,Wait air stop us author onto Mr own.,2024-07-01,yes
361,2548,internet,Make truth knowledge security film.,2024-12-08,yes
362,3949,network,Politics many bad little.,2025-02-25,yes
363,2654,network,Join manage onto guy expect field use.,2024-07-26,no
364,512,service,Suddenly heart sell would course others.,2024-08-30,unresolved
365,3005,service,And perform by scientist interesting beat prevent compare.,2025-03-29,resolved
366,4997,network,Trouble local speech place name discussion.,2024-08-03,resolved
367,4865,service,Which method red because body fast would.,2024-11-16,yes
368,369,internet,Financial each near cell sign choose.,2024-12-10,yes
369,3894,network,Option child ago present second.,2025-02-08,no
370,2847,service,Argue company through compare person.,2024-09-30,resolved
371,708,internet,Open just pressure recent standard thank station.,2025-02-10,yes
372,2137,network,Manage candidate high within religious age stage.,2025-03-23,yes
373,2890,internet,Operation three majority white including.,2024-09-09,unresolved
374,207,internet,Station list doctor thank life media leader.,2024-12-16,yes
375,1391,coverage,Simply little must stop car.,2025-03-26,unresolved
376,1728,internet,Financial drug challenge board loss.,2025-01-10,yes
377,1329,internet,Build entire role music near herself.,2024-07-11,no
378,3403,coverage,Animal much generation ability since light.,2024-08-23,unresolved
379,1867,coverage,Alone marriage leader evidence mean message soldier.,2024-10-05,resolved
380,2281,billing,Rest per despite kitchen.,2024-08-22,yes
381,3128,network,Office side smile support once a fact.,2024-07-23,no
382,4201,service,Staff another age page still leader.,2024-12-16,no
383,1954,coverage,Chair public shoulder doctor modern suggest.,2025-05-04,resolved
384,192,network,Loss from hour travel around research.,2024-08-03,no
385,3345,coverage,Federal surface play alone oil.,2025-02-01,resolved
386,3590,billing,Move section raise majority performance west.,2024-11-16,unresolved
387,2368,billing,Understand painting send win light local serious.,2025-01-14,unresolved
388,4530,service,Evening also mother anyone different so.,2024-11-23,resolved
389,40,billing,As tough business summer spend million.,2025-04-02,no
390,3494,service,Politics couple Mr around create serve actually million.,2025-01-13,resolved
391,541,billing,Us last range adult represent such.,2025-05-22,unresolved
392,370,coverage,,2025-05-03,resolved
393,4474,network,Leg relate show maintain citizen.,2025-04-26,unresolved
394,2693,billing,Technology on remain radio various bill.,2025-05-17,unresolved
395,944,internet,Personal current rather foot.,2024-08-17,unresolved
396,3270,internet,Enjoy him box year win interest.,2025-05-29,no
397,3747,coverage,Box trade system especially commercial support various.,2024-12-06,unresolved
398,4462,internet,Good its public other style main allow.,2025-05-05,yes
399,4291,billing,Program bring pay whom sound.,2024-08-19,resolved
400,1982,service,Lead without us while police mean perhaps.,2025-06-11,unresolved
401,2264,service,,2024-11-28,resolved
402,3985,billing,Business resource without tree in floor weight.,2024-07-29,yes
403,987,internet,Trip always man require plant including particular.,2024-12-16,unresolved
404,3391,coverage,Fine ever participant eight.,2024-10-26,no
405,3467,service,Human color security although.,2024-10-16,no
406,3327,network,Four able great police military election.,2024-08-10,resolved
407,1735,network,,2025-02-21,yes
408,1488,service,When fly thousand play measure sister especially.,2025-05-16,no
409,3342,network,Each hope theory chance interest among.,2025-03-11,unresolved
410,999,internet,Issue worker why scientist push green.,2025-04-02,resolved
411,1702,service,Morning ahead treatment traditional machine network feel.,2024-11-22,resolved
412,4385,billing,Study value article another modern lay city national.,2025-04-01,no
413,4947,billing,Try write door close approach vote increase.,2024-12-28,no
414,2011,billing,,2025-02-02,no
415,2889,service,Economy compare option expert collection behavior during.,2024-08-01,yes
416,1449,billing,Political staff letter lose receive.,2025-02-16,no
417,2330,coverage,Like lawyer president story health.,2024-07-30,no
418,2083,coverage,Would join growth number long life soldier whose.,2024-11-02,no
419,1168,network,Through hot only record get parent the professional.,2024-11-22,resolved
420,2691,internet,Require soon he student heart create.,2024-10-19,resolved
421,3117,billing,Above meeting college church light none.,2024-12-27,resolved
422,1653,coverage,Guy want cup recognize thank us ok.,2025-05-25,no
423,4830,service,Enough training ground make spend ago ask.,2024-07-28,unresolved
424,4390,internet,Want international red hot edge tough.,2024-10-08,no
425,455,billing,Consider throughout heavy clearly think return watch.,2025-03-30,resolved
426,3188,network,Down lead task economy model.,2024-12-31,yes
427,3700,coverage,Here performance generation.,2024-12-22,no
428,2950,coverage,Agreement song discover likely loss nothing account.,2024-06-27,resolved
429,3476,coverage,Pass determine quickly.,2025-02-03,unresolved
430,3303,service,,2025-05-21,yes
431,4782,coverage,Large business recognize offer share check.,2024-12-26,yes
432,667,internet,Safe look become deal can sister word color.,2025-03-18,yes
433,1397,internet,Day open program tough want.,2024-07-09,unresolved
434,3823,internet,Business physical young property job see summer.,2024-09-06,no
435,4352,network,Defense fact day shake movie hope.,2025-01-24,unresolved
436,4016,service,Floor writer image teacher group movement.,2024-11-23,yes
437,1654,billing,Guy debate lose traditional.,2024-08-26,unresolved
438,2278,billing,Imagine yard occur.,2024-06-28,unresolved
439,3409,service,Occur main and environment message law condition.,2025-04-28,unresolved
440,1424,billing,Happen throughout toward deep cost general remain.,2025-05-22,yes
441,2177,internet,Involve light to environmental score.,2025-01-24,resolved
442,3277,coverage,Hard boy case.,2025-04-13,resolved
443,4095,network,Own hair court can media special figure.,2025-04-18,yes
444,2356,coverage,Agent walk rest ahead best marriage.,2024-11-26,yes
445,1022,internet,Company goal southern drop message fast.,2025-01-06,unresolved
446,3801,internet,I current of yeah.,2024-07-27,unresolved
447,3936,service,Kind value threat television city quickly show almost.,2025-02-23,resolved
448,2895,internet,Successful major choose five drop image however.,2025-02-15,no
449,668,network,On particularly white picture TV gun say.,2024-11-23,yes
450,4955,coverage,Lead attack test for itself.,2024-07-02,yes
451,3175,network,Nation pay fish police on human.,2025-06-01,unresolved
452,386,service,Market speak society whose.,2024-06-20,no
453,3828,coverage,Provide career edge one.,2025-03-12,yes
454,4694,coverage,Imagine reality throughout.,2025-05-21,resolved
455,678,network,Wear increase glass tonight defense executive.,2024-06-28,yes
456,4456,billing,Later every that north.,2025-01-22,no
457,4633,service,Since class dark population method.,2024-07-12,yes
458,1097,service,Manage guess least four guy bank child.,2025-01-26,no
459,2838,network,Scene market a experience notice pass work citizen.,2024-06-28,unresolved
460,1516,service,Arm office source cell not thought possible.,2024-09-05,resolved
461,1452,network,Fund who foot commercial something.,2024-07-06,unresolved
462,685,service,Position worry old pass.,2024-10-24,yes
463,244,billing,Though pass perform.,2025-06-17,resolved
464,2687,internet,Newspaper shoulder large brother play some.,2024-10-24,yes
465,4091,billing,Huge people last power serious point.,2024-09-01,yes
466,2350,internet,Else high station sure individual.,2025-02-21,yes
467,1667,service,Election party very adult.,2024-09-03,resolved
468,4979,coverage,Industry far top majority.,2025-02-15,yes
469,2644,service,Us tax bank.,2024-08-28,resolved
470,4664,coverage,Deep newspaper treat.,2024-09-05,yes
471,2527,coverage,Ok wonder fact way security reveal still.,2024-06-26,yes
472,2404,network,Image provide entire dinner reveal.,2024-12-07,unresolved
